    1        1.9627      -2.7400      -1.2162
    2       -1.1289      -1.0595       0.7494
    3       -0.6622      -5.0022      -0.8907
    4        0.8584       1.4785       1.0928
    5        0.9143       1.3847      -1.2302
    6        1.5654       1.0452       1.0899
    7        0.9228      -2.8158      -1.2091
    8        1.8829       1.4723      -1.2282
    9       -0.6404      -4.9828       0.2486
   10       -1.0965       1.0323      -1.2031
   11        2.6380      -1.6173       0.7004
   12       -0.4785      -0.0532       1.0995
   13       -0.1754       1.2007      -1.2203
   14        1.6727       1.9152       0.2064
   15        2.2925       0.9838      -0.9636
   16       -0.9061      -0.3259      -1.2155
   17       -1.3574       0.6848       0.7560
   18       -0.0017      -1.4565       1.1096
   19       -1.1413      -1.0435       0.2914
   20       -1.1678      -1.0571      -0.9670
   21        0.3969      -0.9730      -1.2289
   22       -1.3776       0.7018       0.0093
   23       -1.3971       0.6857      -0.9319
   24       -1.0752       1.5499       0.2340
   25       -0.3796      -1.6917      -1.2110
   26        0.3509       1.7594      -0.8684
   27        0.4417       1.7418       0.7255
   28        0.4329       1.7544       0.0884
   29        1.0962       0.2154      -1.2393
   30        1.6566       0.3328       1.0876
   31        1.9242       0.1813      -1.2375
   32        2.2911       0.9647       0.7022
   33        2.2888       1.0024      -0.0340
   34        2.4834      -0.4664      -0.8886
   35        2.6332      -1.5954      -0.8769
   36        2.4874      -0.5195       0.3586
   37        2.5449      -0.9762       0.9451
   38       -0.6289      -4.9786       0.9301
   39       -0.4587       0.7854       1.1019
   40       -1.1405       0.3261       0.7933
   41        1.6508      -0.5464       0.7502
   42        1.4777       0.7280      -1.1549
   43        2.3038      -0.9976      -0.9146
   44        0.3323      -1.3216       1.0217
   45        1.9849       1.3250       0.7683
   46       -0.6436       1.4137      -0.0431
